UniqueCount	AmbigCount
2	165
0	6
8	252
0	0
0	1
0	0
0	0
0	44
0	44
0	0
0	0
0	0
1	2
0	0
20	91
0	45
8	29
1	27
0	4
0	41
11	17
9	26
0	0
0	46
1674	178
1	123
117	931
3	37
22	39
0	0
0	6
15	309
2	208
8	261
0	205
0	199
0	75
220	107
0	39
0	0
0	0
0	2
0	4
0	12
0	0
0	13
87	84
53	46
0	17
0	20
71	1
0	22
0	6
0	119
1	86
0	12
17	21
34	82
1	90
0	24
14	65
0	110
5	69
18	33
1	60
1	287
7	53
0	0
0	2
0	3
0	25
0	7
0	0
0	67
0	4
1	10
13	31
10	24
1	3
0	13
0	0
0	32
1	28
0	16
0	26
0	0
0	2
5	35
33	416
1	2111
2	0
0	40
0	0
41	44
0	28
0	0
0	3
108	982
0	129
0	18
0	0
2	22
6	18
12	55
0	66
0	2
0	6
13	6
0	5
0	0
28	3
0	3
0	3
0	4
2	3
0	3
0	2
0	5
6	25
0	1
4	0
0	0
43	75
0	75
0	1
0	18
0	16
196	106
0	65
1	66
0	78
6	38
0	31
5	156
0	90
4	38
0	52
4	16
7	8
0	20
4	0
74	86
0	19
0	57
0	0
0	0
0	0
2	19
6	3
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	1
0	2
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
12	74
7	116
14	117
0	0
0	34
10	17
3	25
1	23
2	11
0	7
5	0
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
1	0
2	30
0	27
5	27
0	18
3	1528
0	822
546	1526
0	0
5	0
0	25
0	25
0	0
0	0
0	0
0	1
0	0
5	6
0	2
0	5
0	1
0	17
0	9
0	17
0	0
0	7
0	5
0	0
5	1
0	28
0	21
0	29
1	28
5	21
2	32
0	29
0	2
0	20
0	12
0	12
0	12
0	3
0	4
0	0
0	2
0	2
1	5
4	2
2	0
0	0
0	0
0	0
0	0
5	9
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	36
17	60
2	27
0	36
8	30
15	30
0	10
3	663
0	642
0	658
20	148
3	131
0	487
0	41
451	0
1	2
0	2
0	2
0	1
0	1
14	2
1	607
0	609
0	604
1	375
0	409
2	347
0	348
5	87
0	316
11	265
1	44
0	78
0	132
0	97
5	126
3	9
2	52
3	61
15	71
46	0
5	4
7	0
0	23
0	19
4	23
0	24
0	1
1	19
0	1
0	4
6	248
18	232
1	167
0	176
2	9
1	28
0	47
3	5
16	69
1	41
21	24
0	19
0	0
0	0
5	24
0	8
1	9
0	15
6	16
1	192
0	310
0	310
0	233
0	165
0	321
0	63
0	267
0	234
12	243
1	154
1	219
0	303
0	238
0	199
0	241
0	270
0	109
0	66
2	44
0	214
0	60
0	87
0	73
0	41
0	42
0	75
0	6
0	20
1	98
0	56
0	52
0	77
0	73
0	68
0	0
1	0
0	51
0	63
2	58
0	36
0	40
0	42
0	24
0	20
0	22
0	16
0	2
0	2
0	0
0	0
0	0
0	7
12	7
1	0
8	0
0	356
9	348
0	236
0	70
0	93
3	47
2	16
4	23
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
8	796
363	755
2	758
7	767
45	63
1	32
0	0
32	679
5	730
12	492
11	893
7	1507
1	859
0	553
0	1035
0	1091
0	435
1	601
0	177
2	121
3	91
5	181
0	413
45	49
4	150
14	29
10	45
5	187
4	508
19	539
0	43
0	31
0	498
5	507
0	199
137	699
0	396
4	561
19	39
33	239
0	50
0	10
62	48
0	2
0	3
0	3
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
15	41
0	0
0	2
11	150
93	157
1	21
28	126
10	74
0	1
0	0
0	153
0	150
0	137
0	137
1	6
1	20
0	14
0	0
0	0
1	0
85	259
15	201
1	80
575	69
23	44
0	0
2	0
54	1
1	307
0	325
0	270
0	321
20	331
0	292
0	311
30	44
2	17
15	301
0	44
0	244
2	37
1	12
0	47
0	319
0	204
0	27
0	286
1	254
1	7
6	10
0	268
2	47
3	14
0	13
3	50
0	90
0	77
7	77
0	28
0	24
1	9
0	1
0	8
1	9
0	7
0	5
0	8
0	5
0	0
0	1
73	950
2	951
5	803
0	830
0	840
1	617
2	613
2	617
3	303
3	1
4	347
10	914
5	907
23	98
21	335
2	7
0	0
0	7
0	589
0	171
3	405
1	515
0	555
0	627
0	570
0	579
0	604
0	617
19	35
0	67
5	38
0	4
1	86
0	12
0	20
1	80
10	63
8	185
29	39
14	22
8	13
135	578
3	1
9	17
0	0
0	0
0	330
1	348
106	616
0	83
0	287
0	170
1	2788
3	2792
249	2635
50	1280
0	25
0	650
2	290
0	181
36	594
1	234
4	160
0	410
32	706
2	510
50	507
73	222
17	16
2	2489
0	2003
12	2695
27	288
37	794
11	539
55	912
32	539
5	60
2	188
4	0
0	0
0	0
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	34
0	0
0	0
17	22
1	0
7	3
0	6
0	2
0	1
0	4
0	6
0	2
1	1
0	6
0	5
0	2
0	0
0	6
0	1
0	1
5	57
0	32
0	1
0	0
0	4
0	0
0	0
9	263
0	26
1	9
0	6
3	6
2	2
0	231
1	4
0	206
0	9
0	28
0	11
0	26
2	11
0	50
0	32
0	19
4	5
1	5
0	31
0	5
0	226
3	44
0	175
1	136
1	17
35	92
1	0
0	0
0	29
3	47
0	48
0	56
0	37
21	90
0	29
0	53
1	47
11	82
0	35
0	48
0	72
0	0
0	0
0	0
193	4
1	0
2	0
0	4
1	18
0	19
0	18
0	1
11	17
0	11
2	11
0	13
14	21
0	3
0	0
0	0
3	0
0	0
9	4
14	1017
0	241
1	1383
13	568
18	37
3	1066
19	469
249	797
0	231
11	122
4	132
0	118
0	33
0	11
1	2
6	3
0	8
4	0
0	17
0	17
0	17
3	20
0	13
0	7
0	2
0	0
0	0
4	427
0	377
0	240
1	48
2	19
2	8
4	8
3	44
0	85
2	28
10	1
1	14
1	0
4	119
0	119
0	20
2	5
54	31
1	8
13	23
1	17
0	772
1	1004
14	1001
0	1004
3	779
5	2160
0	1447
1	392
0	393
10	806
39	1352
0	1534
0	122
0	610
0	0
3	288
7	3
19	0
0	21
0	16
0	67
0	61
0	70
0	59
0	29
0	62
0	31
0	10
0	9
1	15
0	60
0	7
2	52
0	5
1	10
0	6
0	6
