UniqueCount	AmbigCount
6	156
0	7
8	249
0	0
0	0
0	0
0	0
0	39
0	39
0	0
0	0
0	0
0	0
0	0
22	121
0	41
14	50
1	39
0	8
0	63
12	28
3	83
1	4
0	43
2015	205
1	130
126	1053
4	28
17	42
0	0
0	5
17	302
1	110
6	179
0	130
0	136
0	39
398	134
0	24
0	0
0	0
0	0
0	0
0	15
0	1
0	26
110	93
39	71
0	27
0	19
122	2
0	47
0	30
0	161
0	98
0	27
8	29
27	114
1	80
0	41
19	66
0	129
5	101
33	36
1	78
0	371
15	57
0	0
0	0
0	1
0	101
0	17
0	0
0	66
0	3
0	19
11	31
5	15
4	1
0	26
0	2
1	50
0	38
0	27
0	25
0	0
0	0
22	53
53	991
4	5731
1	0
0	82
0	0
127	100
0	135
0	0
0	2
161	1224
0	131
0	23
0	0
4	32
4	24
15	65
0	69
0	12
0	13
20	13
0	10
0	1
32	6
0	19
0	14
1	16
3	13
0	14
0	10
0	23
5	26
5	1
0	1
0	3
33	54
0	54
0	0
0	9
0	18
289	135
0	57
2	58
1	76
1	58
0	35
2	171
0	71
7	41
4	43
8	18
24	23
5	15
9	2
71	98
0	26
0	54
0	1
1	0
0	0
5	18
7	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	124
17	176
33	180
3	0
0	43
9	18
18	54
1	49
6	6
3	18
1	0
3	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
2	0
6	52
2	50
10	49
0	30
1	1726
0	933
613	1719
0	0
2	1
1	49
0	49
1	0
0	4
0	0
1	0
0	0
12	11
0	3
0	14
0	1
0	24
2	20
0	24
1	0
0	18
0	4
1	0
4	0
0	93
0	84
0	95
2	92
9	69
8	96
0	90
0	19
0	59
2	38
0	26
0	27
0	17
3	16
1	7
0	13
0	6
0	2
20	3
0	0
1	0
0	0
0	0
0	0
2	18
1	12
0	2
0	2
1	2
0	1
